16,8,2
20,8,1
21,8,4
22,4,2
22,8,1
22,11,7
23,8,2
24,8,1
41,11,7
49,11,7
51,11,7
57,8,6
77,8,1
78,8,4
79,8,1
80,3,7
80,4,1
81,4,1
82,4,1
83,3,7
83,4,1
84,4,1
85,4,1
86,4,1
87,4,1
91,4,1
92,4,1
93,4,1
94,4,2
94,8,5
96,11,7
98,11,7
100,8,1
106,8,2
107,10,8
109,4,4
109,8,2
112,8,2
114,11,7
116,11,7
118,8,1
121,4,1
122,4,1
122,11,7
123,4,1
124,11,7
128,4,1
128,11,7
129,4,2
129,8,1
130,4,2
130,8,1
130,11,7
131,4,1
146,8,13
163,10,9
168,8,1
169,8,1
170,8,2
170,11,7
171,8,1
176,11,7
198,2,11
204,11,12
