10,8,4
11,8,2
12,8,2
12,11,7
13,8,2
14,8,2
15,11,7
29,7,5
29,11,7
40,6,1
40,7,1
40,8,1
41,7,3
41,8,1
42,4,3
42,6,1
42,7,1
42,8,1
43,4,3
43,6,1
44,4,3
44,6,1
44,7,1
44,8,1
45,7,3
45,8,1
46,6,1
46,7,1
46,8,1
52,4,1
52,5,1
52,6,1
52,7,1
53,4,1
53,5,1
53,6,1
53,7,1
54,2,1
54,3,1
54,7,1
54,8,1
55,2,1
55,3,1
55,7,1
55,8,1
58,2,1
58,3,1
58,7,3
58,8,1
59,2,1
59,3,1
59,7,3
59,8,1
60,2,1
60,3,1
60,7,3
60,8,1
61,2,1
61,3,1
61,7,3
61,8,1
62,2,1
62,3,1
62,4,1
62,5,1
62,6,1
62,7,1
62,8,1
63,2,1
63,3,1
63,4,1
63,5,1
63,6,1
63,7,1
63,8,1
67,2,1
67,3,1
68,2,1
68,3,1
68,4,1
68,5,1
68,6,1
68,7,1
68,8,1
69,2,1
69,3,1
69,7,3
69,8,1
70,2,1
70,3,1
70,7,4
70,8,1
71,2,1
71,3,1
73,4,1
73,5,1
73,6,1
73,7,1
73,8,1
74,3,7
74,4,1
74,5,1
74,6,1
74,7,1
74,8,1
77,2,1
77,3,1
77,7,7
77,8,1
78,2,1
78,3,1
78,8,1
79,2,1
79,3,1
79,7,7
79,8,1
85,4,3
85,6,1
85,7,1
86,4,3
86,6,1
86,7,1
87,4,3
87,6,1
87,7,1
88,4,3
88,6,1
88,7,1
89,4,3
89,6,1
89,7,1
98,11,7
100,11,7
102,11,7
113,11,7
145,8,1
146,8,1
147,8,1
148,8,1
149,8,1
150,8,1
150,10,8
151,8,4
